observed_at,collected_at,slot_at,worlds_returned,reported_players_online,api_version,api_release
2026-09-22T19:27:46Z,2026-09-22T19:28:01.219264Z,2026-09-22T18:30:00Z,96,18821,4,4.10.0
2026-09-22T22:21:50Z,2026-09-22T22:22:43.566835Z,2026-09-22T21:30:00Z,96,16916,4,4.10.0
2026-09-23T00:49:44Z,2026-09-23T00:50:16.796928Z,2026-09-23T00:30:00Z,96,17110,4,4.10.0
2026-09-23T06:21:17Z,2026-09-23T06:21:59.380269Z,2026-09-23T05:30:00Z,96,6568,4,4.10.0
2026-09-23T11:56:55Z,2026-09-23T11:57:12.304172Z,2026-09-23T11:30:00Z,96,10157,4,4.10.0
2026-09-23T17:21:00Z,2026-09-23T17:21:57.910246Z,2026-09-23T16:30:00Z,96,16746,4,4.10.0
2026-09-23T20:35:10Z,2026-09-23T20:36:02.891771Z,2026-09-23T20:30:00Z,96,17403,4,4.10.0
2026-09-23T23:51:29Z,2026-09-23T23:51:45.236373Z,2026-09-23T23:30:00Z,96,16994,4,4.10.0
2026-09-24T05:10:32Z,2026-09-24T05:10:49.865179Z,2026-09-24T04:30:00Z,96,7536,4,4.10.0
